id,Manufacturer,Model,Type,Min.Price,Price,Max.Price,MPG.city,MPG.highway,AirBags,DriveTrain,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Man.trans.avail,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight,Origin,Make
58.0,Mercedes-Benz,190E,Compact,29.0,31.9,34.9,20.0,29.0,Driver only,Rear,4,2.3,130.0,5100.0,2425.0,Yes,14.5,5.0,175.0,105.0,67.0,34.0,26.0,12.0,2920.0,non-USA,Mercedes-Benz 190E
59.0,Mercedes-Benz,300E,Midsize,43.8,61.9,80.0,19.0,25.0,Driver & Passenger,Rear,6,3.2,217.0,5500.0,2220.0,No,18.5,5.0,187.0,110.0,69.0,37.0,27.0,15.0,3525.0,non-USA,Mercedes-Benz 300E
60.0,Mercury,Capri,Sporty,13.3,14.1,15.0,23.0,26.0,Driver only,Front,4,1.6,100.0,5750.0,2475.0,Yes,11.1,4.0,166.0,95.0,65.0,36.0,19.0,6.0,2450.0,USA,Mercury Capri
61.0,Mercury,Cougar,Midsize,14.9,14.9,14.9,19.0,26.0,None,Rear,6,3.8,140.0,3800.0,1730.0,No,18.0,5.0,199.0,113.0,73.0,38.0,28.0,15.0,3610.0,USA,Mercury Cougar
62.0,Mitsubishi,Mirage,Small,7.7,10.3,12.9,29.0,33.0,None,Front,4,1.5,92.0,6000.0,2505.0,Yes,13.2,5.0,172.0,98.0,67.0,36.0,26.0,11.0,2295.0,non-USA,Mitsubishi Mirage
63.0,Mitsubishi,Diamante,Midsize,22.4,26.1,29.9,18.0,24.0,Driver only,Front,6,3.0,202.0,6000.0,2210.0,No,19.0,5.0,190.0,107.0,70.0,43.0,27.5,14.0,3730.0,non-USA,Mitsubishi Diamante
64.0,Nissan,Sentra,Small,8.7,11.8,14.9,29.0,33.0,Driver only,Front,4,1.6,110.0,6000.0,2435.0,Yes,13.2,5.0,170.0,96.0,66.0,33.0,26.0,12.0,2545.0,non-USA,Nissan Sentra
65.0,Nissan,Altima,Compact,13.0,15.7,18.3,24.0,30.0,Driver only,Front,4,2.4,150.0,5600.0,2130.0,Yes,15.9,5.0,181.0,103.0,67.0,40.0,28.5,14.0,3050.0,non-USA,Nissan Altima
66.0,Nissan,Quest,Van,16.7,19.1,21.5,17.0,23.0,None,Front,6,3.0,151.0,4800.0,2065.0,No,20.0,7.0,190.0,112.0,74.0,41.0,27.0,14.0,4100.0,non-USA,Nissan Quest
67.0,Nissan,Maxima,Midsize,21.0,21.5,22.0,21.0,26.0,Driver only,Front,6,3.0,160.0,5200.0,2045.0,No,18.5,5.0,188.0,104.0,69.0,41.0,28.5,14.0,3200.0,non-USA,Nissan Maxima
68.0,Oldsmobile,Achieva,Compact,13.0,13.5,14.0,24.0,31.0,None,Front,4,2.3,155.0,6000.0,2380.0,No,15.2,5.0,188.0,103.0,67.0,39.0,28.0,14.0,2910.0,USA,Oldsmobile Achieva
69.0,Oldsmobile,Cutlass_Ciera,Midsize,14.2,16.3,18.4,23.0,31.0,Driver only,Front,4,2.2,110.0,5200.0,2565.0,No,16.5,5.0,190.0,105.0,70.0,42.0,28.0,16.0,2890.0,USA,Oldsmobile Cutlass_Ciera
70.0,Oldsmobile,Silhouette,Van,19.5,19.5,19.5,18.0,23.0,None,Front,6,3.8,170.0,4800.0,1690.0,No,20.0,7.0,194.0,110.0,74.0,44.0,30.5,14.0,3715.0,USA,Oldsmobile Silhouette
71.0,Oldsmobile,Eighty-Eight,Large,19.5,20.7,21.9,19.0,28.0,Driver only,Front,6,3.8,170.0,4800.0,1570.0,No,18.0,6.0,201.0,111.0,74.0,42.0,31.5,17.0,3470.0,USA,Oldsmobile Eighty-Eight
72.0,Plymouth,Laser,Sporty,11.4,14.4,17.4,23.0,30.0,None,4WD,4,1.8,92.0,5000.0,2360.0,Yes,15.9,4.0,173.0,97.0,67.0,39.0,24.5,8.0,2640.0,USA,Plymouth Laser
73.0,Pontiac,LeMans,Small,8.2,9.0,9.9,31.0,41.0,None,Front,4,1.6,74.0,5600.0,3130.0,Yes,13.2,4.0,177.0,99.0,66.0,35.0,25.5,17.0,2350.0,USA,Pontiac LeMans
74.0,Pontiac,Sunbird,Compact,9.4,11.1,12.8,23.0,31.0,None,Front,4,2.0,110.0,5200.0,2665.0,Yes,15.2,5.0,181.0,101.0,66.0,39.0,25.0,13.0,2575.0,USA,Pontiac Sunbird
75.0,Pontiac,Firebird,Sporty,14.0,17.7,21.4,19.0,28.0,Driver & Passenger,Rear,6,3.4,160.0,4600.0,1805.0,Yes,15.5,4.0,196.0,101.0,75.0,43.0,25.0,13.0,3240.0,USA,Pontiac Firebird
76.0,Pontiac,Grand_Prix,Midsize,15.4,18.5,21.6,19.0,27.0,None,Front,6,3.4,200.0,5000.0,1890.0,Yes,16.5,5.0,195.0,108.0,72.0,41.0,28.5,16.0,3450.0,USA,Pontiac Grand_Prix
77.0,Pontiac,Bonneville,Large,19.4,24.4,29.4,19.0,28.0,Driver & Passenger,Front,6,3.8,170.0,4800.0,1565.0,No,18.0,6.0,177.0,111.0,74.0,43.0,30.5,18.0,3495.0,USA,Pontiac Bonneville
78.0,Saab,900,Compact,20.3,28.7,37.1,20.0,26.0,Driver only,Front,4,2.1,140.0,6000.0,2910.0,Yes,18.0,5.0,184.0,99.0,67.0,37.0,26.5,14.0,2775.0,non-USA,Saab 900
79.0,Saturn,SL,Small,9.2,11.1,12.9,28.0,38.0,Driver only,Front,4,1.9,85.0,5000.0,2145.0,Yes,12.8,5.0,176.0,102.0,68.0,40.0,26.5,12.0,2495.0,USA,Saturn SL
80.0,Subaru,Justy,Small,7.3,8.4,9.5,33.0,37.0,None,4WD,3,1.2,73.0,5600.0,2875.0,Yes,9.2,4.0,146.0,90.0,60.0,32.0,23.5,10.0,2045.0,non-USA,Subaru Justy
81.0,Subaru,Loyale,Small,10.5,10.9,11.3,25.0,30.0,None,4WD,4,1.8,90.0,5200.0,3375.0,Yes,15.9,5.0,175.0,97.0,65.0,35.0,27.5,15.0,2490.0,non-USA,Subaru Loyale
82.0,Subaru,Legacy,Compact,16.3,19.5,22.7,23.0,30.0,Driver only,4WD,4,2.2,130.0,5600.0,2330.0,Yes,15.9,5.0,179.0,102.0,67.0,37.0,27.0,14.0,3085.0,non-USA,Subaru Legacy
83.0,Suzuki,Swift,Small,7.3,8.6,10.0,39.0,43.0,None,Front,3,1.3,70.0,6000.0,3360.0,Yes,10.6,4.0,161.0,93.0,63.0,34.0,27.5,10.0,1965.0,non-USA,Suzuki Swift
84.0,Toyota,Tercel,Small,7.8,9.8,11.8,32.0,37.0,Driver only,Front,4,1.5,82.0,5200.0,3505.0,Yes,11.9,5.0,162.0,94.0,65.0,36.0,24.0,11.0,2055.0,non-USA,Toyota Tercel
85.0,Toyota,Celica,Sporty,14.2,18.4,22.6,25.0,32.0,Driver only,Front,4,2.2,135.0,5400.0,2405.0,Yes,15.9,4.0,174.0,99.0,69.0,39.0,23.0,13.0,2950.0,non-USA,Toyota Celica
86.0,Toyota,Camry,Midsize,15.2,18.2,21.2,22.0,29.0,Driver only,Front,4,2.2,130.0,5400.0,2340.0,Yes,18.5,5.0,188.0,103.0,70.0,38.0,28.5,15.0,3030.0,non-USA,Toyota Camry
87.0,Toyota,Previa,Van,18.9,22.7,26.6,18.0,22.0,Driver only,4WD,4,2.4,138.0,5000.0,2515.0,Yes,19.8,7.0,187.0,113.0,71.0,41.0,35.0,14.0,3785.0,non-USA,Toyota Previa
88.0,Volkswagen,Fox,Small,8.7,9.1,9.5,25.0,33.0,None,Front,4,1.8,81.0,5500.0,2550.0,Yes,12.4,4.0,163.0,93.0,63.0,34.0,26.0,10.0,2240.0,non-USA,Volkswagen Fox
89.0,Volkswagen,Eurovan,Van,16.6,19.7,22.7,17.0,21.0,None,Front,5,2.5,109.0,4500.0,2915.0,Yes,21.1,7.0,187.0,115.0,72.0,38.0,34.0,14.0,3960.0,non-USA,Volkswagen Eurovan
90.0,Volkswagen,Passat,Compact,17.6,20.0,22.4,21.0,30.0,None,Front,4,2.0,134.0,5800.0,2685.0,Yes,18.5,5.0,180.0,103.0,67.0,35.0,31.5,14.0,2985.0,non-USA,Volkswagen Passat
91.0,Volkswagen,Corrado,Sporty,22.9,23.3,23.7,18.0,25.0,None,Front,6,2.8,178.0,5800.0,2385.0,Yes,18.5,4.0,159.0,97.0,66.0,36.0,26.0,15.0,2810.0,non-USA,Volkswagen Corrado
92.0,Volvo,240,Compact,21.8,22.7,23.5,21.0,28.0,Driver only,Rear,4,2.3,114.0,5400.0,2215.0,Yes,15.8,5.0,190.0,104.0,67.0,37.0,29.5,14.0,2985.0,non-USA,Volvo 240
93.0,Volvo,850,Midsize,24.8,26.7,28.5,20.0,28.0,Driver & Passenger,Front,5,2.4,168.0,6200.0,2310.0,Yes,19.3,5.0,184.0,105.0,69.0,38.0,30.0,15.0,3245.0,non-USA,Volvo 850
